Code,Title,Theme,SubTheme,Description,Keywords
161,Vegetables and Melons,Establishments primarily engaged in the production of vegetables and melons in the open.,"Asparagus farms Bean farms, except dry beans Beet farms, except sugar beet Bok choy farms Broccoli farms Cabbage farms Cantaloupe farms Cauliflower farms Celery farms Corn farms, sweet Cucumber farms English pea farms Green lima bean farms Green pea farms Lettuce farms Market gardens Melon farms Onion farms Pea farms, except dry peas Pepper farms, sweet and hot (vegetables) Romaine farms Snap bean farms (bush and pole) Squash farms Tomato farms Truck farms Vegetable farms Watermelon farms ",Agriculture and Food,Agricultural Production
214,Sheep and Goats,"Establishments primarily engaged in the production of sheep, lambs, goats, goats'milk, wool, and mohair, including the operation of lamb feedlots, on their own account or on a contract or fee basis.","Feedlots, lamb Goat farms Goats'milk production Mohair production Sheep feeding farms and ranches Sheep raising farms and ranches Wool production ",Agriculture and Food,Agricultural Production
241,Dairy Farms,Establishments primarily engaged in the production of cows'milk and other dairy products and in raising dairy heifer replacements.,"Dairy farms Dairy heifer replacement farms Milk production, dairy cattle farm ",Agriculture and Food,Agricultural Production
252,Chicken Eggs,"Establishments primarily engaged in the production of chicken eggs, including table eggs and hatching eggs, and in the sale of cull hens.",Chicken egg farms Started pullet farms ,Agriculture and Food,Agricultural Production
259,"Poultry and Eggs, Not Elsewhere Classified","Establishments primarily engaged in the production of poultry and eggs, not elsewhere classified.","Duck farms Egg farms, poultry: except chicken and turkey Geese farms Pheasant farms Pigeon farms Quail farms Squab farms ",Agriculture and Food,Agricultural Production
291,"General Farms, Primarily Livestock and Animal Specialties","Establishments deriving 50 percent or more of their total value of sales of agricultural products from livestock and animal specialties and their products, but less than 50 percent from products of any single three-digit industry group.","Animal specialty and livestock farms, general Livestock and animal specialty farms, general ",Agriculture and Food,Agricultural Production
721,"Crop Planting, Cultivating, and Protecting","Establishments primarily engaged in performing crop planting, cultivating, and protecting services.","Aerial dusting and spraying Bracing of orchard trees and vines Citrus grove cultivation services Cultivation services, mechanical and flame Detasseling of corn Disease control for crops, with or without fertilizing Dusting crops, with or without fertilizing Entomological service, agricultural Hoeing Insect control for crops, with or without fertilizing Irrigation system operation services (not providing water) Orchard cultivation services Planting crops, with or without fertilizing Pollinating Pruning of orchard trees and vines Seeding crops, with or without fertilizing Seeding of sprouts and twigs Spraying crops, with or without fertilizing Surgery on orchard trees and vines Thinning of crops, mechanical and chemical Trees orchard: cultivation of Trees orchard: planting, pruning, bracing, spraying, removal, and Vineyard cultivation services Weed control, crop: after planting ",Agriculture and Food,Agricultural Services
722,"Crop Harvesting, Primarily by Machine","Establishments primarily engaged in mechanical harvesting, picking, and combining of crops, and related activities, using machinery provided by the service firm.","Berries, machine harvesting of Chopping and silo filling Combining, agricultural Cotton, machine harvesting of Fruits, machine harvesting of Grain, machine harvesting of Hay mowing, raking, baling and chopping Nuts, machine harvesting of Peanuts, machine harvesting of Sugar beets, machine harvesting of Sugarcane, machine harvesting of Threshing service Vegetables, machine harvesting of ",Agriculture and Food,Agricultural Services
741,Veterinary Services for Livestock,"Establishments of licensed practitioners primarily engaged in the practice of veterinary medicine, dentistry, or surgery, for cattle, hogs, sheep, goats, and poultry.",Animal hospitals for livestock Veterinarians for livestock Veterinary services for livestock ,Agriculture and Food,Agricultural Services
751,"Livestock Services, Except Veterinary","Establishments primarily engaged in performing services, except veterinary, for cattle, hogs, sheep, goats, and poultry.","Artificial insemination services: livestock Breeding of livestock Cattle spraying Cleaning poultry coops Dairy herd improvement associations Livestock breeding services Milk testing for butterfat Pedigree record services for cattle, hogs, sheep, goats, and poultry Sheep dipping and shearing Showing of cattle, hogs, sheep, goats, and poultry Slaughtering, custom: for individuals Vaccinating livestock, except by veterinarians ",Agriculture and Food,Agricultural Services
2011,Meat Packing Plants,"Establishments primarily engaged in the slaughtering, for their own account or on a contract basis for the trade, of cattle, hogs, sheep, lambs, and calves for meat to be sold or to be used on the same premises in canning, cooking, curing, and freezing, and in making sausage, lard, and other products.","Bacon, slab and sliced-mitse Beef-mitse Blood meal Boxed beef-mitse Canned meats, except baby foods and animal feeds-mitse Corned beef-mitse Cured meats-mitse Dried meats-mitse Frankfurters, except poultry-mitse Hams, except poultry-mitse Hides and skins, cured or uncured Horsemeat for human consumption-mitse Lamb_mitse Lard-mitse Luncheon meat, except poultry-mitse Meat extracts-mitse Meat packing plants Meat-mitse Mutton-mitse Pork-mitse Sausages-mitse Slaughtering plants: except animals not for human consumption Variety meats edible organs-mitse Veal-mitse ",Agriculture and Food,Foodstuffs - Meat  and Dairy Products
2013,Sausages and Other Prepared Meat Products,"Establishments primarily engaged in manufacturing sausages, cured meats, smoked meats, canned meats, frozen meats, and other prepared meats and meat specialties, from purchased carcasses and other materials.","Bacon, slab and sliced-mfpm Beef-mfpm Bologna-mfpm Calf's-foot jelly Canned meats, except baby foods and animal feeds-mfpm Corned beef-mfpm Corned meats-mfpm Cured meats: brined, dried, and salted-mfpm Dried meats-mfpm Frankfurters, except poultry-mfpm Hams, except poultry-mfpm Headcheese-mfpm Lard-mfpm Luncheon meat, except poultry-mfpm Meat extracts-mfpm Meat products: cooked, cured, frozen, smoked, and spiced-mfpm Pastrami-mfpm Pigs'feet, cooked and pickled-mfpm Pork: pickled, cured, salted, or smoked-mfpm Potted meats-mfpm Puddings, meat-mfpm Sandwich spreads, meat-mfpm Sausage casings, collagen Sausages-mfpm Scrapple-mfpm Smoked meats-mfpm Spreads, sandwich: meat-mfpm Stew, beef and lamb_mfpm Tripe-mfpm Vienna sausage-mfpm ",Agriculture and Food,Foodstuffs - Meat  and Dairy Products
2015,Poultry Slaughtering and Processing,"Establishments primarily engaged in slaughtering, dressing, packing, freezing, and canning poultry, rabbits, and other small game, or in manufacturing products from such meats, for their own account or on a contract basis for the trade.","Chickens, processed: fresh, frozen, canned, or cooked Chickens: slaughtering and dressing Ducks, processed: fresh, frozen, canned, or cooked Ducks: slaughtering and dressing Egg albumen Egg substitutes made from eggs Eggs: canned, dehydrated, desiccated, frozen, and processed Eggs: drying, freezing, and breaking Frankfurters, poultry Game, small: fresh, frozen, canned, or cooked Game, small: slaughtering and dressing Geese, processed: fresh, frozen, canned or cooked Geese: slaughtering and dressing Ham, poultry Luncheon meat, poultry Poultry, processed: fresh. froze canned, or cooked Poultry: slaughtering and dressing Rabbits, processed: fresh, frozen canned, or cooked Rabbits, slaughtering and dressing Turkeys, processed: fresh, frozen canned, or cooked Turkeys: slaughtering and dressing ",Agriculture and Food,Foodstuffs - Meat  and Dairy Products
2021,Creamery Butter,Establishments primarily engaged in manufacturing creamery butter.,"Anhydrous butterfat Butter oil Butter powder Butter, creamery and whey Butterfat, anhydrous ",Agriculture and Food,Foodstuffs - Meat  and Dairy Products
2022,"Natural, Processed, and Imitation Cheese","Establishments primarily engaged in manufacturing natural cheese (except cottage cheese), processed cheese, cheese foods, cheese spreads, and cheese analogs (imitations and substitutes).","Cheese analogs Cheese products, imitation or substitutes Cheese spreads, pastes, and cheese-like preparations Cheese, except cottage cheese Cheese, imitation or substitutes Cheese, processed Dips, cheese-based Processed cheese Sandwich spreads, cheese Whey, raw: liquid ",Agriculture and Food,Foodstuffs - Meat  and Dairy Products
2024,Ice Cream and Frozen Desserts,Establishments primarily engaged in manufacturing ice cream and other frozen desserts.,"Custard, frozen Desserts, frozen: except bakery Fruit pops, frozen Ice cream: e.g., bulk, packaged, molded, on sticks Ice milk: e.g., bulk, packaged, molded, on sticks Ices and sherbets Juice pops, frozen Mellorine Parfait Pops, dessert: frozen-flavored ice, fruit pudding and gelatin Pudding pops, frozen Sherbets and ices Spumoni Tofu frozen desserts Yogurt, frozen ",Agriculture and Food,Foodstuffs - Meat  and Dairy Products
2034,"Dried and Dehydrated Fruits, Vegetables, and Soup Mixes","Establishments primarily engaged in sun drying or artificially dehydrating fruits and vegetables, or in manufacturing packaged soup mixes from dehydrated ingredients.","Dates, dried Dehydrated fruits, vegetables, and soups Fruit flour, meal, and powders Fruits, sulphured Olives, dried Potato flakes, granules, and other dehydrated potato products Prunes, dried Raisins Soup mixes Soup powders Vegetable flour, meal, and powders Vegetables, sulphured ",Agriculture and Food,Foodstuffs - Plant-derived Products
2038,"Frozen Specialties, Not Elsewhere Classified","Establishments primarily engaged in manufacturing frozen food specialties, not elsewhere classified, such as frozen dinners and frozen pizza.","Dinners, frozen: packaged French toast, frozen Frozen dinners, packaged Meats, frozen Native foods, frozen Pizza, frozen Soups, frozen: except seafood Spaghetti and meatballs, frozen Waffles, frozen Whipped topping, frozen ",Agriculture and Food,Foodstuffs - Meat  and Dairy Products
2041,Flour and Other Grain Mill Products,"Establishments primarily engaged in milling flour or meal from grain, except rice.","Bran and middlings, except rice Bread and bread-type roll mixes-mitse Buckwheat flour Cake flour-mitse Cereals, cracked grain-mitse Corn grits and flakes for brewers'use Dough, biscuit-mitse Doughs, refrigerated or frozen-mitse Durum flour Farina, except breakfast food-mitse Flour mills, cereals: except rice Flour mixes-mitse Flour: blended, prepared, or self-rising-mitse Flour: buckwheat, corn, graham, rye, and wheat Frozen doughs-mitse Graham flour Granular wheat flour Grits and flakes, corn: for brewers'use Hominy grits, except breakfast food Meal, corn Milling of grains, dry, except rice Mixes, flour: e.g., pancake, cake, biscuit, doughnut-mitse Pancake batter, refrigerated or frozen-mitse Pizza mixes and prepared dough-mitse Semolina (flour) Sorghum grain flour Wheat germ Wheat mill feed ",Agriculture and Food,Foodstuffs - Plant-derived Products
2043,Cereal Breakfast Foods,"Establishments primarily engaged in manufacturing cereal breakfast foods and related preparations, except breakfast bars.","Breakfast foods, cereal Coffee substitutes made from grain Corn flakes Corn, hulled (cereal breakfast food) Farina, cereal breakfast food Granola, except bars and clusters Hominy grits prepared as cereal breakfast food Infants'foods, cereal type Oatmeal (cereal breakfast food) Oats, rolled (cereal breakfast food) Rice breakfast foods Wheat flakes ",Agriculture and Food,Foodstuffs - Plant-derived Products
2044,Rice Milling,"Establishments primarily engaged in cleaning and polishing rice, and in manufacturing rice flour or meal.","Flour, rice Milling of rice Polishing of rice Rice bran, flour, and meal Rice cleaning and polishing Rice polish Rice brewers' Rice brown Rice, vitamin and mineral enriched ",Agriculture and Food,Foodstuffs - Plant-derived Products
2045,Prepared Flour Mixes and Doughs,Establishments primarily engaged in preparing flour mixes or doughs from purchased flour.,"Biscuit mixes and doughs-mfpm Bread and bread-type roll mixes-mfpm Cake flour-mfpm Cake mixes-mfpm Dough, biscuit-mfpm Doughnut mixes-mfpm Doughs, refrigerated or frozen-mfpm Flour: blended or self-rising-mfpm Frozen doughs-mfpm Gingerbread mixes-mfpm Mixes, flour: e.g., pancake, cake, biscuit, doughnut-mfpm Pancake batter, refrigerated or frozen-mfpm Pancake mixes-mfpm Pizza mixes and doughs-mfpm ",Agriculture and Food,Foodstuffs - Plant-derived Products
2051,"Bread and Other Bakery Products, Except Cookies and Crackers","Establishments primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products Establishments primarily engaged in producing ""dry"" bakery products, such as biscuits, crackers, and cookies, are classified in Industry 2052.","Bagels Bakery products, fresh: bread, cakes, doughnuts, and pastries Bakery products, partially cooked: except frozen Biscuits, baked: baking powder and raised Bread, brown: boston and other-canned Bread, including frozen Buns, bread-type (e.g. hamburger, hot dog), including frozen Buns, sweet, except frozen Cakes, bakery, except frozen Charlotte Russe (bakery product), except frozen Croissants, except frozen Crullers, except frozen Doughnuts, except frozen Frozen bread and bread-type rolls Knishes, except frozen Pastries, except frozen: e.g., Danish, French Pies, bakery, except frozen Rolls, bread-type, including frozen Rolls, sweet, except frozen Sponge goods, bakery, except frozen Sweet yeast goods, except frozen ",Agriculture and Food,Foodstuffs - Plant-derived Products
2053,"Frozen Bakery Products, Except Bread","Establishments primarily engaged in manufacturing frozen bakery products, except bread and bread-type rolls.","Bakery products, frozen: except bread and bread-type rolls Cakes, frozen: pound, layer, and cheese Croissants, frozen Doughnuts, frozen Pies, bakery, frozen Sweet yeast goods, frozen ",Agriculture and Food,Foodstuffs - Plant-derived Products
2061,"Cane Sugar, Except Refining","Establishments primarily engaged in manufacturing raw sugar, syrup, or finished (granulated or clarified) cane sugar from sugarcane.","Cane sugar, made from sugarcane Molasses, blackstrap: made from sugarcane Molasses, made from sugarcane Sugar, granulated: made from sugarcane Sugar, invert: made from sugarcane Sugar, powdered: made from sugarcane Sugar, raw: made from sugarcane Syrup, cane: made from sugarcane ",Agriculture and Food,Foodstuffs - Plant-derived Products
2062,Cane Sugar Refining,Establishments primarily engaged in refining purchased raw cane sugar and sugar syrup.,"Molasses, blackstrap: made from purchased raw cane sugar or sugar Refineries, cane sugar Sugar, granulated: made from purchased raw cane sugar or sugar Sugar, invert: made from purchased raw cane sugar or sugar syrup Sugar, powdered: made from purchased raw cane sugar or sugar Sugar, refined: made from purchased raw cane sugar or sugar syrup Syrup, made from purchased raw cane sugar or sugar syrup ",Agriculture and Food,Foodstuffs - Plant-derived Products
2063,Beet Sugar,Establishments primarily engaged in manufacturing sugar from sugar beets.,"Beet pulp, dried Beet sugar, made from sugar beets Molasses beet pulp Molasses, made from sugar beets Sugar, granulated: made from sugar beets Sugar, invert: made from sugar beets Sugar, liquid: made from sugar beets Sugar, powdered: made from sugar beets Syrup, made from sugar beets ",Agriculture and Food,Foodstuffs - Plant-derived Products
2066,Chocolate and Cocoa Products,"Establishments primarily engaged in shelling, roasting, and grinding cacao beans for the purpose of making chocolate liquor, from which cocoa powder and cocoa butter are derived, and in the further manufacture of solid chocolate bars, chocolate coatings, and other chocolate and cocoa products.","Baking chocolate Bars, candy: solid chocolate Cacao bean products: chocolate, cocoa butter, and cocoa Cacao beans: shelling, roasting, and grinding for making chocolate Candy, solid chocolate Chocolate bars, solid: from cacao beans Chocolate coatings and syrups Chocolate liquor Chocolate syrup Chocolate, instant Chocolate, sweetened or unsweetened Cocoa butter Cocoa mix, instant Cocoa, powdered: mixed with other substances ",Agriculture and Food,Foodstuffs - Plant-derived Products
2068,Salted and Roasted Nuts and Seeds,"Establishments primarily engaged in manufacturing salted, roasted, dried, cooked, or canned nuts or in processing grains or seeds in a similar manner for snack purposes.","Nuts, dehydrated or dried Nuts: salted, roasted, cooked, or canned Seeds: salted, roasted, cooked, or canned ",Agriculture and Food,Foodstuffs - Plant-derived Products
2074,Cottonseed Oil Mills,"Establishments primarily engaged in manufacturing cottonseed oil, cake, meal, and linters, or in processing purchased cottonseed oil other than into edible cooking oils.","Cottonseed oil, cake, and meal: made in cottonseed oil mills Cottonseed oil, deodorized Lecithin, cottonseed ",Agriculture and Food,Foodstuffs - Plant-derived Products
2075,Soybean Oil Mills,"Establishments primarily engaged in manufacturing soybean oil, cake, and meal, and soybean protein isolates and concentrates, or in processing purchased soybean oil other than into edible cooking oils.","Lecithin, soybean Soybean flour and grits Soybean oil, cake, and meal Soybean oil, deodorized Soybean protein concentrates Soybean protein isolates ",Agriculture and Food,Foodstuffs - Plant-derived Products
2087,"Flavoring Extracts and Flavoring Syrups, Not Elsewhere Classified","Establishments primarily engaged in manufacturing flavoring extracts, syrups, powders, and related products, not elsewhere classified, for soda fountain use or for the manufacture of soft drinks, and colors for bakers'and confectioners'use.","Beverage bases Bitters (flavoring concentrates) Burnt sugar (food color) Cocktail mixes, nonalcoholic Coffee flavorings and syrups Colors for bakers'and confectioners'use, except synthetic Cordials, nonalcoholic Drink powders and concentrates Flavoring concentrates Flavoring extracts, pastes, powders, and syrups Food colorings, except synthetic Food glace, for glazing foods Fruit juices, concentrated: for fountain use Fruits, crushed: for soda fountain use ",Agriculture and Food,Foodstuffs - Plant-derived Products
2092,Prepared Fresh or Frozen Fish and Seafoods,"Establishments primarily engaged in preparing fresh and raw or cooked frozen fish and other seafoods and seafood preparations, such as soups, stews, chowders, fishcakes, crabcakes, and shrimp cakes.","Chowders, fish and seafood: frozen Crabcakes, frozen Crabmeat picking Crabmeat, fresh: packed in nonsealed containers Fish and seafood cakes, frozen Fish fillets Fish sticks Fish: fresh and frozen, prepared Oysters, fresh: shucking and packing in nonsealed containers Seafoods, fresh and frozen Shellfish, fresh and frozen Shellfish, fresh: shucked, picked, or packed Shrimp, fresh and frozen Soups, fish and seafood: frozen Stews, fish and seafood: frozen ",Agriculture and Food,Foodstuffs - Meat  and Dairy Products
2097,Manufactured Ice,Establishments primarily engaged in manufacturing ice for sale.,"Block ice Ice cubes Ice plants, operated by public utilities Ice, manufactured or artificial: except dry ice ",Agriculture and Food,Foodstuffs - Plant-derived Products
2759,"Commercial Printing, Not Elsewhere Classified","Establishments primarily engaged in commercial or job printing, not elsewhere classified.","Announcements, engraved Bags, plastics: printed only, except lithographed or gravure (bags not Banknotes, engraved Bread wrappers, printed: except lithographed or gravure Business forms, except manifold, lithographed or gravure printed Calendars, printed: except lithographed or gravure Cards, except greeting cards: engraving of Cards, printed: except greeting, lithographed or gravure Catalogs, printed: except lithographed or gravure (not publishing) Circulars, printed: except lithographed or gravure Color printing: except lithographed or gravure Coupons, printed: except lithographed or gravure Currency, engraving of Decalcomanias, printed: except lithographed or gravure Directories, printed: except lithographed or gravure (not publishing) Embossing on paper Envelopes, printed: except lithographed or gravure Fashion plates, printed: except lithographed or gravure Flexographic printing Gummed labels and seals, printed: except lithographed or gravure Half-tones, engraved Imprinting, except lithographed or gravure Invitations, engraved Labels, printed: except lithographed or gravure Letterpress printing Letters, circular and form: except lithographed or gravure printed Magazines, printed: except lithographed or gravure (not publishing) Maps, engraved Maps, printed: except lithographed or gravure (not publishing) Menus, except lithographed or gravure printed Music, sheet: except lithographed or gravure (not publishing) Newspapers, printed: except lithographed or gravure (not publishing) Periodicals, printed: except lithographed or gravure (not publishing) Plateless engraving Playing cards, printed: except lithographed or gravure Postcards, picture: except lithographed or gravure printed Posters, including billboard: except lithographed or gravure Printing from engraved and etched plates Printing, commercial or job: engraved plate Printing, commercial or job: except lithographic or gravure Printing, flexographic Printing, letterpress Printing, screen: except on textiles or finished fabric articles Schedules, transportation: except lithographed or gravure Screen printing on glass, plastics, paper, and metal, including Seals: printing except lithographic or gravure Security certificates, engraved Souvenir cards: except lithographed or gravure Stationery: except lithographed or gravure Stock certificates, engraved Tags, printed: except lithographed or gravure Telephone directories, except lithographed or gravure (not publishing) Thermography, except lithographed or gravure Tickets, printed: except lithographed or gravure Trading stamps, printed: except lithographed or gravure Visiting cards, printed: except lithographed or gravure Wrappers, printed: except lithographed or gravure ","Business, IT and Professional Services",Business  support
2761,Manifold Business Forms,"Establishments primarily engaged in designing and printing, by any process, special forms for use in the operation of a business, in single and multiple sets, including carbonized or interleaved with carbon or otherwise processed for multiple reproduction.","Autographic register forms, printed Business forms, manifold Computer forms, manifold or continuous (excludes paper simply Continuous forms, office and business carbonized or Fanfold forms Sales books Strip forms (manifold business forms) Tabulating card set forms (business forms) Unit sets (manifold business forms) ","Business, IT and Professional Services",Business  support
6399,"Insurance Carriers, Not Elsewhere Classified","Establishments primarily engaged in underwriting insurance, not elsewhere classified, such as insuring bank deposits and shares in savings and loan associations.","Bank deposit insurance Deposit or share insurance Federal Deposit Insurance Corporation Federal Savings and Loan Insurance Corporation Health insurance for pets Warranty insurance, automobile ","Business, IT and Professional Services","Legal, Finance and Insurance"
6411,"Insurance Agents, Brokers, and Service","Agents primarily representing one or more insurance carriers, or brokers not representing any particular carriers primarily engaged as independent contractors in the sale or placement of insurance contracts with carriers, but not employees of the insurance carriers they represent.","Fire Insurance Underwriters'Laboratories Fire loss appraisal Insurance adjusters Insurance advisory services Insurance agents Insurance brokers Insurance claim adjusters, not employed by insurance companies Insurance educational services Insurance information bureaus Insurance inspection and investigation services Insurance loss prevention services Insurance patrol services Insurance professional standards services Insurance reporting services Insurance research services Insurance services Life insurance agents Medical insurance claims, processing of: contract or fee basis Pension and retirement plan consultants Policy holders'consulting service Rate making organizations, insurance ","Business, IT and Professional Services","Legal, Finance and Insurance"
